pokedex_number,name,abilities,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,base_egg_steps,base_happiness,base_total,capture_rate,attack,defense,height_m,hp,sp_attack,sp_defense,speed,type1,type2,weight_kg,generation,is_legendary
120,Staryu,"['Illuminate', 'Natural Cure', 'Analytic']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,5120,70,340,225,45,55,0.8,30,70,55,85,water,,34.5,1,0
121,Starmie,"['Illuminate', 'Natural Cure', 'Analytic']",2,2,1,2,1,0.5,0.5,1,2,2,1,0.5,1,1,0.5,1,0.5,0.5,5120,70,520,60,75,85,1.1,60,100,85,115,water,psychic,80,1,0
122,Mr. Mime,"['Soundproof', 'Filter', 'Technician']",1,1,0,1,1,0.25,1,1,2,1,1,1,1,2,0.5,1,2,1,6400,70,460,45,45,65,1.3,40,100,120,90,psychic,fairy,54.5,1,0
123,Scyther,"['Swarm', 'Technician', 'Steadfast']",0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,6400,70,500,45,110,80,1.5,70,55,80,105,bug,flying,56,1,0
124,Jynx,"['Oblivious', 'Forewarn', 'Dry Skin']",2,2,1,1,1,1,2,1,2,1,1,0.5,1,1,0.5,2,2,1,6400,70,455,45,50,35,1.4,65,115,95,95,ice,psychic,40.6,1,0
125,Electabuzz,"['Static', 'Vital Spirit']",1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,6400,70,490,45,83,57,1.1,65,95,85,105,electric,,30,1,0
126,Magmar,"['Flame Body', 'Vital Spirit']",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,6400,70,495,45,95,57,1.3,65,100,85,93,fire,,44.5,1,0
127,Pinsir,"['Hyper Cutter', 'Mold Breaker', 'Moxie']",1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,6400,70,600,45,155,120,1.5,65,65,90,105,bug,,55,1,0
128,Tauros,"['Intimidate', 'Anger Point', 'Sheer Force']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,5120,70,490,45,100,95,1.4,75,40,70,110,normal,,88.4,1,0
129,Magikarp,"['Swift Swim', 'Rattled']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,1280,70,200,255,10,55,0.9,20,15,20,80,water,,10,1,0
130,Gyarados,"['Intimidate', 'Moxie']",0.5,1,1,4,1,0.5,0.5,1,1,1,0,1,1,1,1,2,0.5,0.5,1280,70,640,45,155,109,6.5,95,70,130,81,water,flying,235,1,0
131,Lapras,"['Water Absorb', 'Shell Armor', 'Hydration']",1,1,1,2,1,2,1,1,1,2,1,0.25,1,1,1,2,1,0.5,10240,70,535,45,85,80,2.5,130,85,95,60,water,ice,220,1,0
132,Ditto,"['Limber', 'Imposter']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,5120,70,288,35,48,48,0.3,48,48,48,48,normal,,4,1,0
133,Eevee,"['Run Away', 'Adaptability', 'Anticipation']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,8960,70,325,45,55,50,0.3,55,45,65,55,normal,,6.5,1,0
134,Vaporeon,"['Water Absorb', 'Hydration']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,8960,70,525,45,65,60,1,130,110,95,65,water,,29,1,0
135,Jolteon,"['Volt Absorb', 'Quick Feet']",1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,8960,70,525,45,65,60,0.8,65,110,95,130,electric,,24.5,1,0
136,Flareon,"['Flash Fire', 'Guts']",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,8960,70,525,45,130,60,0.9,65,95,110,65,fire,,25,1,0
137,Porygon,"['Trace', 'Download', 'Analytic']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,5120,70,395,45,60,70,0.8,65,85,75,40,normal,,36.5,1,0
138,Omanyte,"['Swift Swim', 'Shell Armor', 'Weak Armor']",1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1,7680,70,355,45,40,100,0.4,35,90,55,35,rock,water,7.5,1,0
139,Omastar,"['Swift Swim', 'Shell Armor', 'Weak Armor']",1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1,7680,70,495,45,60,125,1,70,115,70,55,rock,water,35,1,0
140,Kabuto,"['Swift Swim', 'Battle Armor', 'Weak Armor']",1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1,7680,70,355,45,80,90,0.5,30,55,45,55,rock,water,11.5,1,0
141,Kabutops,"['Swift Swim', 'Battle Armor', 'Weak Armor']",1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1,7680,70,495,45,115,105,1.3,60,65,70,80,rock,water,40.5,1,0
142,Aerodactyl,"['Rock Head', 'Pressure', 'Unnerve']",0.5,1,1,2,1,1,0.5,0.5,1,1,0,2,0.5,0.5,1,2,2,2,8960,70,615,45,135,85,1.8,80,70,95,150,rock,flying,59,1,0
143,Snorlax,"['Immunity', 'Thick Fat', 'Gluttony']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,10240,70,540,25,110,65,2.1,160,65,110,30,normal,,460,1,0
144,Articuno,"['Pressure', 'Snow Cloak']",0.5,1,1,2,1,1,2,1,1,0.5,0,1,1,1,1,4,2,1,20480,35,580,3,85,100,1.7,90,95,125,85,ice,flying,55.4,1,1
145,Zapdos,"['Pressure', 'Static']",0.5,1,1,1,1,0.5,1,0.5,1,0.5,0,2,1,1,1,2,0.5,1,20480,35,580,3,90,85,1.6,90,125,90,100,electric,flying,52.6,1,1
146,Moltres,"['Pressure', 'Flame Body']",0.25,1,1,2,0.5,0.5,0.5,1,1,0.25,0,1,1,1,1,4,0.5,2,20480,35,580,3,100,90,2,90,125,85,90,fire,flying,60,1,1
147,Dratini,"['Shed Skin', 'Marvel Scale']",1,1,2,0.5,2,1,0.5,1,1,0.5,1,2,1,1,1,1,1,0.5,10240,35,300,45,64,45,1.8,41,50,50,50,dragon,,3.3,1,0
148,Dragonair,"['Shed Skin', 'Marvel Scale']",1,1,2,0.5,2,1,0.5,1,1,0.5,1,2,1,1,1,1,1,0.5,10240,35,420,45,84,65,4,61,70,70,70,dragon,,16.5,1,0
149,Dragonite,"['Inner Focus', 'Multiscale']",0.5,1,2,1,2,0.5,0.5,1,1,0.25,0,4,1,1,1,2,1,0.5,10240,35,600,45,134,95,2.2,91,100,100,80,dragon,flying,210,1,0
150,Mewtwo,"['Pressure', 'Unnerve']",2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,30720,0,780,3,150,70,2,106,194,120,140,psychic,,122,1,1
151,Mew,['Synchronize'],2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,30720,100,600,45,100,100,0.4,100,100,100,100,psychic,,4,1,1
152,Chikorita,"['Overgrow', 'Leaf Guard']",2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,5120,70,318,45,49,65,0.9,45,49,65,45,grass,,6.4,2,0
153,Bayleef,"['Overgrow', 'Leaf Guard']",2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,5120,70,405,45,62,80,1.2,60,63,80,60,grass,,15.8,2,0
154,Meganium,"['Overgrow', 'Leaf Guard']",2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,5120,70,525,45,82,100,1.8,80,83,100,80,grass,,100.5,2,0
155,Cyndaquil,"['Blaze', 'Flash Fire']",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,5120,70,309,45,52,43,0.5,39,60,50,65,fire,,7.9,2,0
156,Quilava,"['Blaze', 'Flash Fire']",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,5120,70,405,45,64,58,0.9,58,80,65,80,fire,,19,2,0
157,Typhlosion,"['Blaze', 'Flash Fire']",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,5120,70,534,45,84,78,1.7,78,109,85,100,fire,,79.5,2,0
158,Totodile,"['Torrent', 'Sheer Force']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,5120,70,314,45,65,64,0.6,50,44,48,43,water,,9.5,2,0
159,Croconaw,"['Torrent', 'Sheer Force']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,5120,70,405,45,80,80,1.1,65,59,63,58,water,,25,2,0
160,Feraligatr,"['Torrent', 'Sheer Force']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,5120,70,530,45,105,100,2.3,85,79,83,78,water,,88.8,2,0
161,Sentret,"['Run Away', 'Keen Eye', 'Frisk']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,3840,70,215,255,46,34,0.8,35,35,45,20,normal,,6,2,0
162,Furret,"['Run Away', 'Keen Eye', 'Frisk']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,3840,70,415,90,76,64,1.8,85,45,55,90,normal,,32.5,2,0
163,Hoothoot,"['Insomnia', 'Keen Eye', 'Tinted Lens']",0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,3840,70,262,255,30,30,0.7,60,36,56,50,normal,flying,21.2,2,0
164,Noctowl,"['Insomnia', 'Keen Eye', 'Tinted Lens']",0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,3840,70,452,90,50,50,1.6,100,86,96,70,normal,flying,40.8,2,0
165,Ledyba,"['Swarm', 'Early Bird', 'Rattled']",0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,3840,70,265,255,20,30,1,40,40,80,55,bug,flying,10.8,2,0
166,Ledian,"['Swarm', 'Early Bird', 'Iron Fist']",0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,3840,70,390,90,35,50,1.4,55,55,110,85,bug,flying,35.6,2,0
167,Spinarak,"['Swarm', 'Insomnia', 'Sniper']",0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,3840,70,250,255,60,40,0.5,40,40,40,30,bug,poison,8.5,2,0
168,Ariados,"['Swarm', 'Insomnia', 'Sniper']",0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,3840,70,400,90,90,70,1.1,70,60,70,40,bug,poison,33.5,2,0
169,Crobat,"['Inner Focus', 'Infiltrator']",0.25,1,1,2,0.5,0.25,1,1,1,0.25,0,2,1,0.5,2,2,1,1,3840,70,535,90,90,80,1.8,85,70,80,130,poison,flying,75,2,0
170,Chinchou,"['Volt Absorb', 'Illuminate', 'Water Absorb']",1,1,1,1,1,1,0.5,0.5,1,2,2,0.5,1,1,1,1,0.25,0.5,5120,70,330,190,38,38,0.5,75,56,56,67,water,electric,12,2,0
171,Lanturn,"['Volt Absorb', 'Illuminate', 'Water Absorb']",1,1,1,1,1,1,0.5,0.5,1,2,2,0.5,1,1,1,1,0.25,0.5,5120,70,460,75,58,58,1.2,125,76,76,67,water,electric,22.5,2,0
172,Pichu,"['Static', 'Lightningrod']",1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,2560,70,205,190,40,15,0.3,20,35,35,60,electric,,2,2,0
173,Cleffa,"['Cute Charm', 'Magic Guard', 'Friend Guard']",0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,2560,140,218,150,25,28,0.3,50,45,55,15,fairy,,3,2,0
174,Igglybuff,"['Cute Charm', 'Competitive', 'Friend Guard']",0.5,0.5,0,1,1,1,1,1,0,1,1,1,1,2,1,1,2,1,2560,70,210,170,30,15,0.3,90,40,20,15,normal,fairy,1,2,0
175,Togepi,"['Hustle', 'Serene Grace', 'Super Luck']",0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,2560,70,245,190,20,65,0.3,35,40,65,20,fairy,,1.5,2,0
176,Togetic,"['Hustle', 'Serene Grace', 'Super Luck']",0.25,0.5,0,2,1,0.25,1,1,1,0.5,0,2,1,2,1,2,2,1,2560,70,405,75,40,85,0.6,55,80,105,40,fairy,flying,3.2,2,0
177,Natu,"['Synchronize', 'Early Bird', 'Magic Bounce']",1,2,1,2,1,0.25,1,1,2,0.5,0,2,1,1,0.5,2,1,1,5120,70,320,190,50,45,0.2,40,70,45,70,psychic,flying,2,2,0
178,Xatu,"['Synchronize', 'Early Bird', 'Magic Bounce']",1,2,1,2,1,0.25,1,1,2,0.5,0,2,1,1,0.5,2,1,1,5120,70,470,75,75,70,1.5,65,95,70,95,psychic,flying,15,2,0
179,Mareep,"['Static', 'Plus']",1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,5120,70,280,235,40,40,0.6,55,65,45,35,electric,,7.8,2,0
180,Flaaffy,"['Static', 'Plus']",1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,5120,70,365,120,55,55,0.8,70,80,60,45,electric,,13.3,2,0
181,Ampharos,"['Static', 'Plus']",1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,5120,70,610,45,95,105,1.4,90,165,110,45,electric,,61.5,2,0
182,Bellossom,"['Chlorophyll', 'Healer']",2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,5120,70,490,45,80,95,0.4,75,90,100,50,grass,,5.8,2,0
183,Marill,"['Thick Fat', 'Huge Power', 'Sap Sipper']",0.5,0.5,0,2,1,0.5,0.5,1,1,2,1,0.5,1,2,1,1,1,0.5,2560,70,250,190,20,50,0.4,70,20,50,40,water,fairy,8.5,2,0
184,Azumarill,"['Thick Fat', 'Huge Power', 'Sap Sipper']",0.5,0.5,0,2,1,0.5,0.5,1,1,2,1,0.5,1,2,1,1,1,0.5,2560,70,420,75,50,80,0.8,100,60,80,50,water,fairy,28.5,2,0
185,Sudowoodo,"['Sturdy', 'Rock Head', 'Rattled']",1,1,1,1,1,2,0.5,0.5,1,2,2,1,0.5,0.5,1,1,2,2,5120,70,410,65,100,115,1.2,70,30,65,30,rock,,38,2,0
186,Politoed,"['Water Absorb', 'Damp', 'Drizzle']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,5120,70,500,45,75,75,1.1,90,90,100,70,water,,33.9,2,0
187,Hoppip,"['Chlorophyll', 'Leaf Guard', 'Infiltrator']",1,1,1,1,1,0.5,2,2,1,0.25,0,4,1,2,1,2,1,0.5,5120,70,250,255,35,40,0.4,35,35,55,50,grass,flying,0.5,2,0
188,Skiploom,"['Chlorophyll', 'Leaf Guard', 'Infiltrator']",1,1,1,1,1,0.5,2,2,1,0.25,0,4,1,2,1,2,1,0.5,5120,70,340,120,45,50,0.6,55,45,65,80,grass,flying,1,2,0
189,Jumpluff,"['Chlorophyll', 'Leaf Guard', 'Infiltrator']",1,1,1,1,1,0.5,2,2,1,0.25,0,4,1,2,1,2,1,0.5,5120,70,460,45,55,70,0.8,75,55,95,110,grass,flying,3,2,0
190,Aipom,"['Run Away', 'Pickup', 'Skill Link']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,5120,70,360,45,70,55,0.8,55,40,55,85,normal,,11.5,2,0
191,Sunkern,"['Chlorophyll', 'Solar Power', 'Early Bird']",2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,5120,70,180,235,30,30,0.3,30,30,30,30,grass,,1.8,2,0
192,Sunflora,"['Chlorophyll', 'Solar Power', 'Early Bird']",2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,5120,70,425,120,75,55,0.8,75,105,85,30,grass,,8.5,2,0
193,Yanma,"['Speed Boost', 'Compoundeyes', 'Frisk']",0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,5120,70,390,75,65,45,1.2,65,75,45,95,bug,flying,38,2,0
194,Wooper,"['Damp', 'Water Absorb', 'Unaware']",1,1,1,0,1,1,0.5,1,1,4,1,1,1,0.5,1,0.5,0.5,1,5120,70,210,255,45,45,0.4,55,25,25,15,water,ground,8.5,2,0
195,Quagsire,"['Damp', 'Water Absorb', 'Unaware']",1,1,1,0,1,1,0.5,1,1,4,1,1,1,0.5,1,0.5,0.5,1,5120,70,430,90,85,85,1.4,95,65,65,35,water,ground,75,2,0
196,Espeon,"['Synchronize', 'Magic Bounce']",2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,8960,70,525,45,65,60,0.9,65,130,95,110,psychic,,26.5,2,0
197,Umbreon,"['Synchronize', 'Inner Focus']",2,0.5,1,1,2,2,1,1,0.5,1,1,1,1,1,0,1,1,1,8960,35,525,45,65,110,1,95,60,130,65,dark,,27,2,0
198,Murkrow,"['Insomnia', 'Super Luck', 'Prankster']",1,0.5,1,2,2,1,1,1,0.5,0.5,0,2,1,1,0,2,1,1,5120,35,405,30,85,42,0.5,60,85,42,91,dark,flying,2.1,2,0
199,Slowking,"['Oblivious', 'Own Tempo', 'Regenerator']",2,2,1,2,1,0.5,0.5,1,2,2,1,0.5,1,1,0.5,1,0.5,0.5,5120,70,490,70,75,80,2,95,100,110,30,water,psychic,79.5,2,0
200,Misdreavus,['Levitate'],0.5,2,1,1,1,0,1,1,2,1,1,1,0,0.5,1,1,1,1,6400,35,435,45,60,60,0.7,60,85,85,85,ghost,,1,2,0
201,Unown,['Levitate'],2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,10240,70,336,225,72,48,0.5,48,72,48,48,psychic,,5,2,0
202,Wobbuffet,"['Shadow Tag', 'Telepathy']",2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,5120,70,405,45,33,58,1.3,190,33,58,33,psychic,,28.5,2,0
203,Girafarig,"['Inner Focus', 'Early Bird', 'Sap Sipper']",2,2,1,1,1,1,1,1,0,1,1,1,1,1,0.5,1,1,1,5120,70,455,60,80,65,1.5,70,90,65,85,normal,psychic,41.5,2,0
204,Pineco,"['Sturdy', 'Overcoat']",1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,5120,70,290,190,65,90,0.6,50,35,35,15,bug,,7.2,2,0
205,Forretress,"['Sturdy', 'Overcoat']",0.5,1,0.5,1,0.5,1,4,1,1,0.25,1,0.5,0.5,0,0.5,1,0.5,1,5120,70,465,75,90,140,1.2,75,60,60,40,bug,steel,125.8,2,0
206,Dunsparce,"['Serene Grace', 'Run Away', 'Rattled']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,5120,70,415,190,70,70,1.5,100,65,65,45,normal,,14,2,0
207,Gligar,"['Hyper Cutter', 'Sand Veil', 'Immunity']",0.5,1,1,0,1,0.5,1,1,1,1,0,4,1,0.5,1,1,1,2,5120,70,430,60,75,105,1.1,65,35,65,85,ground,flying,64.8,2,0
208,Steelix,"['Rock Head', 'Sturdy', 'Sheer Force']",0.5,1,0.5,0,0.5,2,2,0.5,1,1,2,1,0.5,0,0.5,0.25,0.5,2,6400,70,610,25,125,230,9.2,75,55,95,30,steel,ground,400,2,0
209,Snubbull,"['Intimidate', 'Run Away', 'Rattled']",0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,5120,70,300,190,80,50,0.6,60,40,40,30,fairy,,7.8,2,0
210,Granbull,"['Intimidate', 'Quick Feet', 'Rattled']",0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,5120,70,450,75,120,75,1.4,90,60,60,45,fairy,,48.7,2,0
211,Qwilfish,"['Poison Point', 'Swift Swim', 'Intimidate']",0.5,1,1,2,0.5,0.5,0.5,1,1,1,2,0.5,1,0.5,2,1,0.5,0.5,5120,70,440,45,95,85,0.5,65,55,55,85,water,poison,3.9,2,0
212,Scizor,"['Swarm', 'Technician', 'Light Metal']",0.5,1,0.5,1,0.5,1,4,1,1,0.25,1,0.5,0.5,0,0.5,1,0.5,1,6400,70,600,25,150,140,1.8,70,65,100,75,bug,steel,118,2,0
213,Shuckle,"['Sturdy', 'Gluttony', 'Contrary']",1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,1,2,2,2,5120,70,505,190,10,230,0.6,20,10,230,5,bug,rock,20.5,2,0
214,Heracross,"['Swarm', 'Guts', 'Moxie']",0.5,0.5,1,1,2,0.5,2,4,1,0.5,0.5,1,1,1,2,1,1,1,6400,70,600,45,185,115,1.5,80,40,105,75,bug,fighting,54,2,0
215,Sneasel,"['Inner Focus', 'Keen Eye', 'Pickpocket']",2,0.5,1,1,2,4,2,1,0.5,1,1,0.5,1,1,0,2,2,1,5120,35,430,60,95,55,0.9,55,35,75,115,dark,ice,28,2,0
216,Teddiursa,"['Pickup', 'Quick Feet', 'Honey Gather']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,5120,70,330,120,80,50,0.6,60,50,50,40,normal,,8.8,2,0
217,Ursaring,"['Guts', 'Quick Feet', 'Unnerve']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,5120,70,500,60,130,75,1.8,90,75,75,55,normal,,125.8,2,0
218,Slugma,"['Magma Armor', 'Flame Body', 'Weak Armor']",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,5120,70,250,190,40,40,0.7,40,70,40,20,fire,,35,2,0
219,Magcargo,"['Magma Armor', 'Flame Body', 'Weak Armor']",0.5,1,1,1,0.5,2,0.25,0.5,1,1,4,0.5,0.5,0.5,1,2,1,4,5120,70,430,75,50,120,0.8,60,90,80,30,fire,rock,55,2,0
220,Swinub,"['Oblivious', 'Snow Cloak', 'Thick Fat']",1,1,1,0,1,2,2,1,1,2,1,1,1,0.5,1,1,2,2,5120,70,250,225,50,40,0.4,50,30,30,50,ice,ground,6.5,2,0
221,Piloswine,"['Oblivious', 'Snow Cloak', 'Thick Fat']",1,1,1,0,1,2,2,1,1,2,1,1,1,0.5,1,1,2,2,5120,70,450,75,100,80,1.1,100,60,60,50,ice,ground,55.8,2,0
222,Corsola,"['Hustle', 'Natural Cure', 'Regenerator']",1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1,5120,70,410,60,55,95,0.6,65,65,95,35,water,rock,5,2,0
223,Remoraid,"['Hustle', 'Sniper', 'Moody']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,5120,70,300,190,65,35,0.6,35,65,35,65,water,,12,2,0
224,Octillery,"['Suction Cups', 'Sniper', 'Moody']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,5120,70,480,75,105,75,0.9,75,105,75,45,water,,28.5,2,0
225,Delibird,"['Vital Spirit', 'Hustle', 'Insomnia']",0.5,1,1,2,1,1,2,1,1,0.5,0,1,1,1,1,4,2,1,5120,70,330,45,55,45,0.9,45,65,45,75,ice,flying,16,2,0
226,Mantine,"['Swift Swim', 'Water Absorb', 'Water Veil']",0.5,1,1,4,1,0.5,0.5,1,1,1,0,1,1,1,1,2,0.5,0.5,6400,70,485,25,40,70,2.1,85,80,140,70,water,flying,220,2,0
227,Skarmory,"['Keen Eye', 'Sturdy', 'Weak Armor']",0.25,1,0.5,2,0.5,1,2,0.5,1,0.25,0,1,0.5,0,0.5,1,0.5,1,6400,70,465,25,80,140,1.7,65,40,70,70,steel,flying,50.5,2,0
228,Houndour,"['Early Bird', 'Flash Fire', 'Unnerve']",1,0.5,1,1,1,2,0.5,1,0.5,0.5,2,0.5,1,1,0,2,0.5,2,5120,35,330,120,60,30,0.6,45,80,50,65,dark,fire,10.8,2,0
229,Houndoom,"['Early Bird', 'Flash Fire', 'Unnerve']",1,0.5,1,1,1,2,0.5,1,0.5,0.5,2,0.5,1,1,0,2,0.5,2,5120,35,600,45,90,90,1.4,75,140,90,115,dark,fire,35,2,0
230,Kingdra,"['Swift Swim', 'Sniper', 'Damp']",1,1,2,1,2,1,0.25,1,1,1,1,1,1,1,1,1,0.5,0.25,5120,70,540,45,95,95,1.8,75,95,95,85,water,dragon,152,2,0
231,Phanpy,"['Pickup', 'Sand Veil']",1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,5120,70,330,120,60,60,0.5,90,40,40,40,ground,,33.5,2,0
232,Donphan,"['Sturdy', 'Sand Veil']",1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,5120,70,500,60,120,120,1.1,90,60,60,50,ground,,120,2,0
233,Porygon2,"['Trace', 'Download', 'Analytic']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,5120,70,515,45,80,90,0.6,85,105,95,60,normal,,32.5,2,0
234,Stantler,"['Intimidate', 'Frisk', 'Sap Sipper']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,5120,70,465,45,95,62,1.4,73,85,65,85,normal,,71.2,2,0
235,Smeargle,"['Own Tempo', 'Technician', 'Moody']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,5120,70,250,45,20,35,1.2,55,20,45,75,normal,,58,2,0
236,Tyrogue,"['Guts', 'Steadfast', 'Vital Spirit']",0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,6400,70,210,75,35,35,0.7,35,35,35,35,fighting,,21,2,0
237,Hitmontop,"['Intimidate', 'Technician', 'Steadfast']",0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,6400,70,455,45,95,95,1.4,50,35,110,70,fighting,,48,2,0
238,Smoochum,"['Oblivious', 'Forewarn', 'Hydration']",2,2,1,1,1,1,2,1,2,1,1,0.5,1,1,0.5,2,2,1,6400,70,305,45,30,15,0.4,45,85,65,65,ice,psychic,6,2,0
239,Elekid,"['Static', 'Vital Spirit']",1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,6400,70,360,45,63,37,0.6,45,65,55,95,electric,,23.5,2,0
240,Magby,"['Flame Body', 'Vital Spirit']",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,6400,70,365,45,75,37,0.7,45,70,55,83,fire,,21.4,2,0
241,Miltank,"['Thick Fat', 'Scrappy', 'Sap Sipper']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,5120,70,490,45,80,105,1.2,95,40,70,100,normal,,75.5,2,0
242,Blissey,"['Natural Cure', 'Serene Grace', 'Healer']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,10240,140,540,30,10,10,1.5,255,75,135,55,normal,,46.8,2,0
243,Raikou,"['Pressure', 'Inner Focus']",1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,20480,35,580,3,85,75,1.9,90,115,100,115,electric,,178,2,1
244,Entei,"['Pressure', 'Inner Focus']",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,20480,35,580,3,115,85,2.1,115,90,75,100,fire,,198,2,1
245,Suicune,"['Pressure', 'Inner Focus']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,20480,35,580,3,75,115,2,100,90,115,85,water,,187,2,1
